components,variance
1,0.2923292
2,0.40456182
3,0.43674204
4,0.46753386
5,0.49103594
6,0.5122299
7,0.5323826
8,0.5510204
9,0.5680452
10,0.5843668
11,0.5994634
12,0.6130643
13,0.6250658
14,0.6364162
15,0.6457266
16,0.6546924
17,0.6631537
18,0.67120576
19,0.67840666
20,0.6850756
21,0.69136465
22,0.6974878
23,0.7034177
24,0.7092672
25,0.7149828
26,0.7200636
27,0.7250976
28,0.72981405
29,0.73446655
30,0.7383834
31,0.7422145
32,0.7458546
33,0.74937266
34,0.75274956
35,0.75593144
36,0.75898457
37,0.7619828
38,0.76486516
39,0.7676064
40,0.7701351
41,0.7726566
42,0.77500427
43,0.7773044
44,0.7795394
45,0.7816984
46,0.7837855
47,0.78585154
48,0.78786314
49,0.78985196
50,0.7917072
51,0.7935321
52,0.79528505
53,0.7970082
54,0.79871476
55,0.80035347
56,0.8019364
57,0.80348927
58,0.80497116
59,0.80642223
60,0.8078708
61,0.80927527
62,0.81057394
63,0.8118511
64,0.8131018
65,0.8143211
66,0.81553346
67,0.8167393
68,0.8179062
69,0.8190616
70,0.8202024
71,0.82133377
72,0.82244855
73,0.8235173
74,0.8245767
75,0.8255934
76,0.82659537
77,0.8275695
78,0.8285372
79,0.82948345
80,0.83039343
81,0.8312966
82,0.8321824
83,0.8330619
84,0.83392596
85,0.8347815
86,0.83563447
87,0.83645725
88,0.837263
89,0.8380543
90,0.8388352
91,0.8396118
92,0.84038115
93,0.84114444
94,0.8419057
95,0.8426511
96,0.843378
97,0.8441032
98,0.84481716
99,0.84551895
100,0.84621716
101,0.84690624
102,0.8475882
103,0.84826094
104,0.84892553
105,0.84958154
106,0.85023195
107,0.85088074
108,0.8515202
109,0.8521486
110,0.8527665
111,0.85337895
112,0.8539812
113,0.8545806
114,0.8551708
115,0.85575396
116,0.8563348
117,0.85690486
118,0.85747015
119,0.85802186
120,0.8585719
121,0.8591135
122,0.85964775
123,0.86017853
124,0.8607072
125,0.8612334
126,0.86174905
127,0.86225986
128,0.862756
129,0.86325014
130,0.8637408
131,0.86422795
132,0.864712
133,0.8651883
134,0.86565703
135,0.8661217
136,0.8665844
137,0.86704236
138,0.86749935
139,0.8679511
140,0.86840177
141,0.86884797
142,0.8692854
143,0.86971974
144,0.8701509
145,0.8705791
146,0.8710028
147,0.87142247
148,0.871839
149,0.8722539
150,0.8726648
151,0.8730711
152,0.8734742
153,0.87387025
154,0.87426144
155,0.8746511
156,0.87503767
157,0.8754214
158,0.8758006
159,0.8761774
160,0.87654936
161,0.8769168
162,0.87728214
163,0.87764555
164,0.8780049
165,0.87836236
166,0.8787168
167,0.87907004
168,0.8794222
169,0.879767
170,0.88010985
171,0.88045
172,0.8807893
173,0.881126
174,0.88145834
175,0.88178736
176,0.8821134
177,0.8824384
178,0.88275903
179,0.88307875
180,0.8833959
181,0.8837104
182,0.88402176
183,0.8843313
184,0.884638
185,0.8849428
186,0.8852454
187,0.8855458
188,0.8858432
189,0.8861384
190,0.8864307
191,0.886719
192,0.8870046
193,0.88728577
194,0.8875652
195,0.8878433
196,0.88812
197,0.8883933
198,0.88866556
199,0.8889331
200,0.88920045
