components,variance
1,0.23158997
2,0.4107861
3,0.48132658
4,0.5232048
5,0.56310815
6,0.58789057
7,0.6084681
8,0.6244712
9,0.6395949
10,0.65211993
11,0.6616613
12,0.6697925
13,0.6774668
14,0.6842677
15,0.69061005
16,0.69676673
17,0.70242316
18,0.7080507
19,0.71341914
20,0.71842575
21,0.7232133
22,0.7274892
23,0.7314325
24,0.7352802
25,0.7388216
26,0.7422504
27,0.7454788
28,0.74864185
29,0.75159657
30,0.75444025
31,0.7572075
32,0.75988424
33,0.7624292
34,0.76492244
35,0.76732916
36,0.76968974
37,0.77195626
38,0.7741993
39,0.7763533
40,0.7784572
41,0.7804744
42,0.78244156
43,0.7843426
44,0.7862065
45,0.7880444
46,0.7898448
47,0.7916016
48,0.793326
49,0.79501635
50,0.7966782
51,0.7982587
52,0.799806
53,0.80130374
54,0.80278176
55,0.8042264
56,0.8056415
57,0.8070285
58,0.8083973
59,0.80973047
60,0.811031
61,0.8123092
62,0.8135533
63,0.8147878
64,0.8160058
65,0.8171874
66,0.8183507
67,0.8194931
68,0.8206263
69,0.821743
70,0.82283187
71,0.8238931
72,0.8249435
73,0.82598644
74,0.8269968
75,0.8279966
76,0.8289875
77,0.82995015
78,0.8308961
79,0.8318308
80,0.8327442
81,0.8336465
82,0.8345451
83,0.8354197
84,0.8362798
85,0.8371309
86,0.8379481
87,0.8387575
88,0.83955884
89,0.84035534
90,0.84114563
91,0.84192777
92,0.8426977
93,0.8434581
94,0.84420115
95,0.8449391
96,0.845668
97,0.8463894
98,0.8471
99,0.8477973
100,0.84848547
101,0.8491699
102,0.84984463
103,0.8505106
104,0.85117567
105,0.8518302
106,0.85248303
107,0.8531271
108,0.8537627
109,0.8543853
110,0.8550029
111,0.8556156
112,0.8562241
113,0.85682124
114,0.8574143
115,0.85800105
116,0.8585838
117,0.8591625
118,0.8597356
119,0.86030316
120,0.8608619
121,0.8614202
122,0.8619719
123,0.862523
124,0.86306006
125,0.8635937
126,0.86412567
127,0.8646523
128,0.86516744
129,0.8656799
130,0.8661904
131,0.86669916
132,0.8672039
133,0.86770195
134,0.8681933
135,0.8686763
136,0.8691545
137,0.8696315
138,0.8701069
139,0.87057626
140,0.8710438
141,0.8715076
142,0.87196714
143,0.87242526
144,0.8728801
145,0.8733308
146,0.87377864
147,0.87422055
148,0.8746621
149,0.8750979
150,0.8755333
151,0.87596345
152,0.8763925
153,0.8768184
154,0.8772377
155,0.8776541
156,0.8780675
157,0.8784764
158,0.87888443
159,0.87928927
160,0.8796922
161,0.88009065
162,0.8804872
163,0.8808825
164,0.88127565
165,0.8816668
166,0.8820527
167,0.8824373
168,0.8828186
169,0.8831985
170,0.88357294
171,0.88394463
172,0.88431317
173,0.8846791
174,0.8850425
175,0.88540316
176,0.88576066
177,0.88611704
178,0.8864706
179,0.88682055
180,0.88716966
181,0.8875171
182,0.8878629
183,0.8882062
184,0.8885448
185,0.88888216
186,0.88921845
187,0.8895518
188,0.8898824
189,0.89021087
190,0.8905359
191,0.8908601
192,0.8911797
193,0.8914978
194,0.891812
195,0.8921236
196,0.89243394
197,0.8927421
198,0.89304805
199,0.89335215
200,0.89365053
