parent,left_child,right_child,distance,size
52530,48330.0,52496.0,0.0,11.0
52531,22960.0,52528.0,0.0,4.0
52532,22957.0,52531.0,0.0,5.0
52533,22956.0,52532.0,0.0,6.0
52534,22955.0,52533.0,0.0,7.0
52535,22954.0,52534.0,0.0,8.0
52536,22953.0,33512.0,0.0,2.0
52537,22951.0,22952.0,0.0,2.0
52538,22950.0,52529.0,0.0,9.0
52539,22949.0,52538.0,0.0,10.0
52540,22981.0,33494.0,0.0,2.0
52541,22983.0,52540.0,0.0,3.0
52542,22984.0,33544.0,0.0,2.0
52543,22986.0,22985.0,0.0,2.0
52544,23010.0,1122.0,0.0,2.0
52545,23009.0,52542.0,0.0,3.0
52546,23008.0,33557.0,0.0,2.0
52547,23007.0,52519.0,0.0,4.0
52548,23006.0,52547.0,0.0,5.0
52549,23005.0,52548.0,0.0,6.0
52550,23004.0,52549.0,0.0,7.0
52551,23002.0,52550.0,0.0,8.0
52552,23000.0,33555.0,0.0,2.0
52553,23016.0,52551.0,0.0,9.0
52554,48328.0,52465.0,0.0,10.0
52555,22997.0,52552.0,0.0,3.0
52556,22996.0,22995.0,0.0,2.0
52557,22994.0,52555.0,0.0,4.0
52558,22993.0,52557.0,0.0,5.0
52559,22992.0,52545.0,0.0,4.0
52560,22991.0,52558.0,0.0,6.0
52561,22990.0,52559.0,0.0,5.0
52562,22989.0,52541.0,0.0,4.0
52563,22988.0,52562.0,0.0,5.0
52564,22998.0,52560.0,0.0,7.0
52565,48481.0,48486.0,0.0,2.0
52566,48484.0,52478.0,0.0,8.0
52567,48490.0,48488.0,0.0,2.0
52568,22444.0,22448.0,0.0,2.0
52569,22443.0,22439.0,0.0,2.0
52570,48639.0,48619.0,0.0,2.0
52571,48640.0,48633.0,0.0,2.0
52572,22440.0,22471.0,0.0,2.0
52573,48641.0,48599.0,0.0,2.0
52574,22436.0,22382.0,0.0,2.0
52575,22433.0,52572.0,0.0,3.0
52576,22432.0,52574.0,0.0,3.0
52577,48646.0,26416.0,0.0,2.0
52578,48648.0,14937.0,0.0,2.0
52579,22423.0,22450.0,0.0,2.0
52580,48651.0,27953.0,0.0,2.0
52581,48653.0,48652.0,0.0,2.0
52582,22417.0,22437.0,0.0,2.0
52583,22416.0,3290.0,0.0,2.0
52584,48654.0,48655.0,0.0,2.0
52585,22410.0,3265.0,0.0,2.0
52586,48661.0,48660.0,0.0,2.0
52587,22446.0,52569.0,0.0,3.0
52588,48638.0,52570.0,0.0,3.0
52589,22449.0,22445.0,0.0,2.0
52590,48637.0,52588.0,0.0,4.0
52591,48623.0,52571.0,0.0,3.0
52592,22486.0,52589.0,0.0,3.0
52593,48624.0,52591.0,0.0,4.0
52594,48625.0,52593.0,0.0,5.0
52595,48626.0,52594.0,0.0,6.0
52596,22481.0,52592.0,0.0,4.0
52597,48627.0,52595.0,0.0,7.0
52598,48628.0,52597.0,0.0,8.0
52599,48629.0,52590.0,0.0,5.0
52600,48664.0,48663.0,0.0,2.0
52601,22473.0,52596.0,0.0,5.0
52602,48631.0,52599.0,0.0,6.0
52603,48632.0,52598.0,0.0,9.0
52604,48634.0,52602.0,0.0,7.0
52605,22461.0,52575.0,0.0,4.0
52606,22459.0,22474.0,0.0,2.0
52607,48635.0,52604.0,0.0,8.0
52608,48636.0,52607.0,0.0,9.0
52609,22454.0,22395.0,0.0,2.0
52610,22453.0,52568.0,0.0,3.0
52611,48630.0,52608.0,0.0,10.0
52612,48622.0,52603.0,0.0,10.0
52613,48666.0,50465.0,0.0,2.0
52614,22399.0,52609.0,0.0,3.0
52615,48700.0,48699.0,0.0,2.0
52616,22333.0,22363.0,0.0,2.0
52617,48702.0,48701.0,0.0,2.0
52618,22327.0,22251.0,0.0,2.0
52619,22326.0,22304.0,0.0,2.0
52620,48706.0,27637.0,0.0,2.0
52621,48709.0,27269.0,0.0,2.0
52622,48711.0,31839.0,0.0,2.0
52623,22314.0,52619.0,0.0,3.0
52624,22313.0,52623.0,0.0,4.0
52625,22311.0,52624.0,0.0,5.0
52626,22308.0,52625.0,0.0,6.0
52627,22307.0,22298.0,0.0,2.0
52628,22305.0,52626.0,0.0,7.0
52629,48717.0,48716.0,0.0,2.0
52630,22300.0,52628.0,0.0,8.0
52631,48718.0,49629.0,0.0,2.0
52632,22297.0,52630.0,0.0,9.0
52633,22296.0,52632.0,0.0,10.0
52634,48697.0,17242.0,0.0,2.0
52635,48688.0,33202.0,0.0,2.0
52636,22342.0,22312.0,0.0,2.0
52637,22343.0,22419.0,0.0,2.0
52638,22398.0,52614.0,0.0,4.0
52639,22394.0,52638.0,0.0,5.0
52640,48669.0,48904.0,0.0,2.0
52641,22385.0,22384.0,0.0,2.0
52642,22383.0,52583.0,0.0,3.0
52643,22379.0,22371.0,0.0,2.0
52644,48670.0,52600.0,0.0,3.0
