components,variance
1,0.31639186
2,0.42230713
3,0.4590237
4,0.48796448
5,0.5166026
6,0.54049003
7,0.5618241
8,0.5813352
9,0.59972197
10,0.6158839
11,0.62994486
12,0.6433917
13,0.6557668
14,0.66619265
15,0.67628086
16,0.68602544
17,0.6938164
18,0.700312
19,0.7064124
20,0.7121843
21,0.71765095
22,0.7228728
23,0.72738796
24,0.731637
25,0.735857
26,0.73984843
27,0.7437819
28,0.7475184
29,0.7509872
30,0.7541648
31,0.75731623
32,0.7603921
33,0.7633887
34,0.76627296
35,0.76910007
36,0.7718062
37,0.7744712
38,0.7770975
39,0.7796825
40,0.7821706
41,0.78453654
42,0.7868299
43,0.78904134
44,0.79119694
45,0.79333645
46,0.7954231
47,0.79744065
48,0.7993308
49,0.8012169
50,0.8030379
51,0.80481833
52,0.80651474
53,0.8081698
54,0.80979043
55,0.8113963
56,0.81295776
57,0.8144831
58,0.8159869
59,0.81742984
60,0.81885743
61,0.8202448
62,0.8216258
63,0.8229836
64,0.8242865
65,0.8255554
66,0.82679373
67,0.8279847
68,0.8291431
69,0.8302404
70,0.8313326
71,0.8324021
72,0.8334533
73,0.83447033
74,0.83546764
75,0.83642346
76,0.83735466
77,0.8382793
78,0.8391764
79,0.84005076
80,0.84092045
81,0.84177786
82,0.8426067
83,0.84340984
84,0.844195
85,0.84497213
86,0.84574825
87,0.8465055
88,0.84726036
89,0.84800404
90,0.84874505
91,0.8494679
92,0.8501858
93,0.85089797
94,0.85159916
95,0.85229725
96,0.85298425
97,0.8536683
98,0.85433936
99,0.85499877
100,0.85565
101,0.85629004
102,0.8569232
103,0.85754615
104,0.8581625
105,0.858769
106,0.859365
107,0.85995555
108,0.8605369
109,0.86111426
110,0.86168617
111,0.86224747
112,0.8628036
113,0.8633503
114,0.86388844
115,0.8644186
116,0.8649391
117,0.86545753
118,0.86597216
119,0.8664816
120,0.86698794
121,0.86748654
122,0.8679784
123,0.8684691
124,0.86895514
125,0.86943704
126,0.8699172
127,0.8703865
128,0.8708547
129,0.8713194
130,0.87178063
131,0.87223923
132,0.8726923
133,0.8731414
134,0.8735864
135,0.87402827
136,0.8744683
137,0.87490326
138,0.8753317
139,0.8757518
140,0.876169
141,0.87658346
142,0.87699497
143,0.87740594
144,0.8778134
145,0.8782178
146,0.8786173
147,0.8790157
148,0.8794083
149,0.8797966
150,0.88018334
151,0.8805657
152,0.8809453
153,0.88132125
154,0.881694
155,0.88206124
156,0.8824261
157,0.88278764
158,0.8831478
159,0.88350284
160,0.883854
161,0.88420445
162,0.8845503
163,0.8848931
164,0.88523436
165,0.88557243
166,0.885908
167,0.886242
168,0.88657165
169,0.8868965
170,0.88722026
171,0.8875411
172,0.8878595
173,0.88817704
174,0.8884917
175,0.8888028
176,0.88910836
177,0.88941216
178,0.8897148
179,0.89001447
180,0.8903109
181,0.8906051
182,0.8908974
183,0.8911875
184,0.8914764
185,0.89176184
186,0.892045
187,0.8923275
188,0.89260656
189,0.89288515
190,0.8931622
191,0.8934366
192,0.8937091
193,0.8939791
194,0.89424485
195,0.8945087
196,0.89477235
197,0.8950348
198,0.8952942
199,0.8955524
200,0.8958063
