parent,left_child,right_child,distance,size
52511,27330.0,27331.0,0.0,2.0
52512,27329.0,52479.0,0.0,3.0
52513,27327.0,27887.0,0.0,2.0
52514,27325.0,52498.0,0.0,3.0
52515,27324.0,52514.0,0.0,4.0
52516,27321.0,28788.0,0.0,2.0
52517,27319.0,52484.0,0.0,4.0
52518,27317.0,52515.0,0.0,5.0
52519,27340.0,27341.0,0.0,2.0
52520,26931.0,52446.0,0.0,3.0
52521,27257.0,27256.0,0.0,2.0
52522,27252.0,52492.0,0.0,4.0
52523,27156.0,27155.0,0.0,2.0
52524,27154.0,52520.0,0.0,4.0
52525,27152.0,52404.0,0.0,5.0
52526,27148.0,27149.0,0.0,2.0
52527,27147.0,27146.0,0.0,2.0
52528,27144.0,27145.0,0.0,2.0
52529,27143.0,27803.0,0.0,2.0
52530,27141.0,52529.0,0.0,3.0
52531,27140.0,46654.0,0.0,2.0
52532,27158.0,27142.0,0.0,2.0
52533,27137.0,27136.0,0.0,2.0
52534,27134.0,27133.0,0.0,2.0
52535,27130.0,52530.0,0.0,4.0
52536,27126.0,27128.0,0.0,2.0
52537,27125.0,19504.0,0.0,2.0
52538,27124.0,10740.0,0.0,2.0
52539,27122.0,52410.0,0.0,5.0
52540,27121.0,52539.0,0.0,6.0
52541,27119.0,1703.0,0.0,2.0
52542,27116.0,27115.0,0.0,2.0
52543,27135.0,52525.0,0.0,6.0
52544,27255.0,27254.0,0.0,2.0
52545,27161.0,27160.0,0.0,2.0
52546,27164.0,30108.0,0.0,2.0
52547,27248.0,30049.0,0.0,2.0
52548,27246.0,52488.0,0.0,3.0
52549,27244.0,26741.0,0.0,2.0
52550,27239.0,27240.0,0.0,2.0
52551,27238.0,209.0,0.0,2.0
52552,27237.0,52551.0,0.0,3.0
52553,27235.0,27236.0,0.0,2.0
52554,27234.0,52522.0,0.0,5.0
52555,27233.0,51302.0,0.0,2.0
52556,27162.0,52546.0,0.0,3.0
52557,27223.0,27224.0,0.0,2.0
52558,27188.0,1455.0,0.0,2.0
52559,27183.0,27180.0,0.0,2.0
52560,27182.0,52559.0,0.0,3.0
52561,27179.0,27175.0,0.0,2.0
52562,27178.0,27173.0,0.0,2.0
52563,27177.0,52562.0,0.0,3.0
52564,27176.0,52561.0,0.0,3.0
52565,27174.0,52563.0,0.0,4.0
52566,27167.0,1581.0,0.0,2.0
52567,27221.0,27222.0,0.0,2.0
52568,26927.0,19694.0,0.0,2.0
52569,26926.0,52568.0,0.0,3.0
52570,26922.0,26923.0,0.0,2.0
52571,26669.0,6181.0,0.0,2.0
52572,26668.0,26667.0,0.0,2.0
52573,26666.0,52572.0,0.0,3.0
52574,26660.0,26641.0,0.0,2.0
52575,26657.0,26655.0,0.0,2.0
52576,26649.0,6812.0,0.0,2.0
52577,26648.0,52576.0,0.0,3.0
52578,26646.0,52575.0,0.0,3.0
52579,26643.0,29005.0,0.0,2.0
52580,26683.0,26671.0,0.0,2.0
52581,26630.0,26541.0,0.0,2.0
52582,26626.0,26612.0,0.0,2.0
52583,26625.0,26616.0,0.0,2.0
52584,26623.0,52583.0,0.0,3.0
52585,26622.0,52584.0,0.0,4.0
52586,26621.0,26620.0,0.0,2.0
52587,26619.0,52586.0,0.0,3.0
52588,26618.0,52587.0,0.0,4.0
52589,26617.0,52585.0,0.0,5.0
52590,26615.0,52589.0,0.0,6.0
52591,26629.0,26628.0,0.0,2.0
52592,26614.0,52590.0,0.0,7.0
52593,26684.0,52580.0,0.0,3.0
