components,variance
1,0.3689485
2,0.5211814
3,0.57511514
4,0.60932744
5,0.6405172
6,0.6654313
7,0.6844231
8,0.7021968
9,0.7158001
10,0.7258053
11,0.73526657
12,0.7437585
13,0.75117815
14,0.7576779
15,0.76408917
16,0.7698031
17,0.77545995
18,0.78063595
19,0.7853112
20,0.7896717
21,0.79383695
22,0.7975788
23,0.8009872
24,0.8043187
25,0.8074097
26,0.81040734
27,0.81323934
28,0.81600165
29,0.8186698
30,0.82116604
31,0.823605
32,0.82595325
33,0.82820636
34,0.8303953
35,0.83246213
36,0.8345212
37,0.83648545
38,0.83841354
39,0.8402713
40,0.84204847
41,0.8438086
42,0.8455351
43,0.84720874
44,0.8488608
45,0.85048956
46,0.85208905
47,0.85361344
48,0.8550908
49,0.85655236
50,0.85796416
51,0.8593319
52,0.86068857
53,0.8620274
54,0.8633508
55,0.86464196
56,0.865905
57,0.8671254
58,0.8683334
59,0.8695269
60,0.870703
61,0.8718299
62,0.87292707
63,0.8739791
64,0.8750076
65,0.8760177
66,0.87700856
67,0.87798023
68,0.87893844
69,0.8798867
70,0.8808256
71,0.8817416
72,0.88263315
73,0.88350964
74,0.88437164
75,0.8852311
76,0.886072
77,0.8868923
78,0.8877002
79,0.8884976
80,0.88928264
81,0.8900574
82,0.8908275
83,0.8915912
84,0.8923512
85,0.8930846
86,0.8938123
87,0.89453524
88,0.8952552
89,0.89596695
90,0.8966687
91,0.89736456
92,0.8980471
93,0.8987142
94,0.8993681
95,0.9000218
96,0.90065914
97,0.9012934
98,0.901921
99,0.90253854
100,0.90314883
101,0.9037553
102,0.90435237
103,0.9049425
104,0.905526
105,0.9060978
106,0.90666664
107,0.9072338
108,0.90779775
109,0.90835696
110,0.90891093
111,0.9094521
112,0.9099899
113,0.9105189
114,0.91104126
115,0.91156083
116,0.9120748
117,0.91258764
118,0.9130943
119,0.91359496
120,0.91408634
121,0.9145769
122,0.9150635
123,0.9155422
124,0.91601783
125,0.91648346
126,0.9169483
127,0.91740847
128,0.9178653
129,0.918317
130,0.91876763
131,0.9192153
132,0.91965747
133,0.92009443
134,0.9205272
135,0.9209588
136,0.921384
137,0.9218055
138,0.9222258
139,0.9226398
140,0.9230532
141,0.9234611
142,0.92386585
143,0.924268
144,0.92466486
145,0.92505825
146,0.9254504
147,0.9258395
148,0.9262256
149,0.9266096
150,0.9269884
151,0.9273663
152,0.9277397
153,0.9281107
154,0.9284794
155,0.9288434
156,0.92920476
157,0.9295648
158,0.9299224
159,0.93027717
160,0.93062544
161,0.9309727
162,0.931319
163,0.9316626
164,0.93200326
165,0.93234074
166,0.9326721
167,0.9330029
168,0.93333155
169,0.9336577
170,0.9339819
171,0.934303
172,0.9346203
173,0.9349314
174,0.93524146
175,0.93554926
176,0.9358555
177,0.9361596
178,0.9364595
179,0.93675834
180,0.93705416
181,0.93734765
182,0.93763727
183,0.93792397
184,0.9382087
185,0.93849254
186,0.93877494
187,0.9390524
188,0.93932956
189,0.93960226
190,0.93987244
191,0.94014066
192,0.9404046
193,0.94066715
194,0.94092804
195,0.9411876
196,0.9414447
197,0.9416982
198,0.9419506
199,0.9422009
200,0.94244975
